val: step: 0 | loss: 10.9476
train: step: 0 | loss: 10.9446 | norm: 5.8450 | dt: 24452.60ms | tok/sec: 21441.00 | lr: 0.000001
train: step: 1 | loss: 10.9278 | norm: 5.9359 | dt: 389.06ms | tok/sec: 1347589.35 | lr: 0.000002
train: step: 2 | loss: 10.8940 | norm: 5.7353 | dt: 387.12ms | tok/sec: 1354317.70 | lr: 0.000003
train: step: 3 | loss: 10.8290 | norm: 5.8241 | dt: 388.64ms | tok/sec: 1349027.81 | lr: 0.000003
train: step: 4 | loss: 10.7391 | norm: 5.3646 | dt: 388.78ms | tok/sec: 1348533.10 | lr: 0.000004
train: step: 5 | loss: 10.6762 | norm: 4.9573 | dt: 389.17ms | tok/sec: 1347188.95 | lr: 0.000005
train: step: 6 | loss: 10.5607 | norm: 4.5254 | dt: 388.24ms | tok/sec: 1350406.32 | lr: 0.000006
train: step: 7 | loss: 10.4685 | norm: 4.0475 | dt: 391.71ms | tok/sec: 1338455.35 | lr: 0.000007
train: step: 8 | loss: 10.4084 | norm: 3.7068 | dt: 388.79ms | tok/sec: 1348525.66 | lr: 0.000008
train: step: 9 | loss: 10.2918 | norm: 3.4278 | dt: 392.33ms | tok/sec: 1336340.58 | lr: 0.000008
train: step: 10 | loss: 10.1669 | norm: 3.3126 | dt: 388.87ms | tok/sec: 1348226.36 | lr: 0.000009
train: step: 11 | loss: 10.1485 | norm: 3.0171 | dt: 388.50ms | tok/sec: 1349502.18 | lr: 0.000010
train: step: 12 | loss: 10.0720 | norm: 2.8682 | dt: 393.63ms | tok/sec: 1331918.81 | lr: 0.000011
train: step: 13 | loss: 9.9322 | norm: 2.7201 | dt: 390.08ms | tok/sec: 1344059.16 | lr: 0.000012
train: step: 14 | loss: 9.9306 | norm: 2.6041 | dt: 388.80ms | tok/sec: 1348478.52 | lr: 0.000013
train: step: 15 | loss: 9.9172 | norm: 2.4601 | dt: 389.00ms | tok/sec: 1347796.66 | lr: 0.000013
train: step: 16 | loss: 9.8291 | norm: 2.3919 | dt: 387.77ms | tok/sec: 1352051.12 | lr: 0.000014
train: step: 17 | loss: 9.7394 | norm: 2.3924 | dt: 388.42ms | tok/sec: 1349790.45 | lr: 0.000015
train: step: 18 | loss: 9.7144 | norm: 2.2504 | dt: 388.17ms | tok/sec: 1350680.04 | lr: 0.000016
