val: step: 0 | loss: 10.9513
train: step: 0 | loss: 10.9512 | norm: 5.5107 | dt: 25721.70ms | tok/sec: 20383.10 | lr: 0.000001
train: step: 1 | loss: 10.9248 | norm: 5.5644 | dt: 389.06ms | tok/sec: 1347562.10 | lr: 0.000002
train: step: 2 | loss: 10.9060 | norm: 5.4522 | dt: 389.62ms | tok/sec: 1345652.29 | lr: 0.000003
train: step: 3 | loss: 10.8445 | norm: 5.5052 | dt: 388.31ms | tok/sec: 1350178.31 | lr: 0.000003
train: step: 4 | loss: 10.7674 | norm: 5.1605 | dt: 390.85ms | tok/sec: 1341388.85 | lr: 0.000004
train: step: 5 | loss: 10.6865 | norm: 4.8056 | dt: 389.35ms | tok/sec: 1346586.73 | lr: 0.000005
train: step: 6 | loss: 10.5833 | norm: 4.4052 | dt: 388.82ms | tok/sec: 1348414.02 | lr: 0.000006
train: step: 7 | loss: 10.4988 | norm: 3.9805 | dt: 390.97ms | tok/sec: 1340993.76 | lr: 0.000007
train: step: 8 | loss: 10.4298 | norm: 3.6622 | dt: 388.41ms | tok/sec: 1349826.90 | lr: 0.000008
train: step: 9 | loss: 10.3177 | norm: 3.4449 | dt: 387.97ms | tok/sec: 1351374.78 | lr: 0.000008
train: step: 10 | loss: 10.2040 | norm: 3.3542 | dt: 387.61ms | tok/sec: 1352603.32 | lr: 0.000009
train: step: 11 | loss: 10.1847 | norm: 3.0783 | dt: 387.18ms | tok/sec: 1354104.21 | lr: 0.000010
train: step: 12 | loss: 10.1047 | norm: 2.9363 | dt: 388.23ms | tok/sec: 1350440.32 | lr: 0.000011
train: step: 13 | loss: 9.9712 | norm: 2.7877 | dt: 388.23ms | tok/sec: 1350455.25 | lr: 0.000012
train: step: 14 | loss: 9.9601 | norm: 2.6829 | dt: 387.31ms | tok/sec: 1353671.59 | lr: 0.000013
train: step: 15 | loss: 9.9496 | norm: 2.5473 | dt: 387.35ms | tok/sec: 1353518.28 | lr: 0.000013
train: step: 16 | loss: 9.8633 | norm: 2.4804 | dt: 390.53ms | tok/sec: 1342518.97 | lr: 0.000014
train: step: 17 | loss: 9.7814 | norm: 2.4839 | dt: 387.56ms | tok/sec: 1352783.05 | lr: 0.000015
train: step: 18 | loss: 9.7549 | norm: 2.3310 | dt: 388.96ms | tok/sec: 1347923.89 | lr: 0.000016
train: step: 19 | loss: 9.7621 | norm: 2.2705 | dt: 389.52ms | tok/sec: 1345995.75 | lr: 0.000017
train: step: 20 | loss: 9.7358 | norm: 2.2100 | dt: 392.57ms | tok/sec: 1335516.81 | lr: 0.000018
train: step: 21 | loss: 9.6256 | norm: 2.2468 | dt: 389.01ms | tok/sec: 1347764.45 | lr: 0.000018
train: step: 22 | loss: 9.6157 | norm: 2.1673 | dt: 387.93ms | tok/sec: 1351510.16 | lr: 0.000019
train: step: 23 | loss: 9.6144 | norm: 2.1623 | dt: 386.17ms | tok/sec: 1357668.99 | lr: 0.000020
train: step: 24 | loss: 9.5965 | norm: 2.1386 | dt: 386.90ms | tok/sec: 1355093.01 | lr: 0.000021
train: step: 25 | loss: 9.5719 | norm: 2.1228 | dt: 387.25ms | tok/sec: 1353891.62 | lr: 0.000022
train: step: 26 | loss: 9.5427 | norm: 2.1159 | dt: 388.41ms | tok/sec: 1349828.56 | lr: 0.000023
train: step: 27 | loss: 9.4952 | norm: 2.1207 | dt: 389.36ms | tok/sec: 1346524.06 | lr: 0.000023
train: step: 28 | loss: 9.4814 | norm: 2.1338 | dt: 387.53ms | tok/sec: 1352908.73 | lr: 0.000024
train: step: 29 | loss: 9.4872 | norm: 2.1256 | dt: 387.92ms | tok/sec: 1351537.57 | lr: 0.000025
train: step: 30 | loss: 9.4447 | norm: 2.1276 | dt: 389.98ms | tok/sec: 1344413.32 | lr: 0.000026
train: step: 31 | loss: 9.4342 | norm: 2.1122 | dt: 387.51ms | tok/sec: 1352981.98 | lr: 0.000027
train: step: 32 | loss: 9.4140 | norm: 2.1294 | dt: 389.13ms | tok/sec: 1347321.84 | lr: 0.000028
train: step: 33 | loss: 9.3947 | norm: 2.0618 | dt: 388.76ms | tok/sec: 1348629.86 | lr: 0.000029
train: step: 34 | loss: 9.3480 | norm: 2.0660 | dt: 387.83ms | tok/sec: 1351840.00 | lr: 0.000029
train: step: 35 | loss: 9.3625 | norm: 2.0748 | dt: 389.82ms | tok/sec: 1344951.90 | lr: 0.000030
train: step: 36 | loss: 9.3078 | norm: 2.0635 | dt: 388.83ms | tok/sec: 1348370.20 | lr: 0.000031
train: step: 37 | loss: 9.4100 | norm: 2.0053 | dt: 386.34ms | tok/sec: 1357060.72 | lr: 0.000032
train: step: 38 | loss: 9.2862 | norm: 2.0224 | dt: 389.24ms | tok/sec: 1346943.04 | lr: 0.000033
train: step: 39 | loss: 9.2351 | norm: 2.0104 | dt: 387.78ms | tok/sec: 1352022.85 | lr: 0.000034
train: step: 40 | loss: 9.1724 | norm: 1.9753 | dt: 388.63ms | tok/sec: 1349070.02 | lr: 0.000034
train: step: 41 | loss: 9.1953 | norm: 2.0238 | dt: 387.45ms | tok/sec: 1353181.79 | lr: 0.000035
train: step: 42 | loss: 9.1041 | norm: 1.9456 | dt: 389.80ms | tok/sec: 1345034.16 | lr: 0.000036
train: step: 43 | loss: 9.0985 | norm: 1.9524 | dt: 390.56ms | tok/sec: 1342391.13 | lr: 0.000037
train: step: 44 | loss: 9.0353 | norm: 1.9612 | dt: 389.65ms | tok/sec: 1345523.84 | lr: 0.000038
train: step: 45 | loss: 8.9554 | norm: 1.9429 | dt: 389.40ms | tok/sec: 1346404.52 | lr: 0.000039
train: step: 46 | loss: 8.9674 | norm: 1.9117 | dt: 388.94ms | tok/sec: 1347980.90 | lr: 0.000039
train: step: 47 | loss: 8.8903 | norm: 1.8910 | dt: 388.06ms | tok/sec: 1351063.42 | lr: 0.000040
